year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2017,0,0,0,0/0,60.28620293847566,38.69159779614325,,2/2,59.195833333333326,35.358333333333334,,1/1,0,0,0,0/0,68.45555555555556,49.022222222222226,,1/1,0,0,0,0/0
2018,62.18351261639836,41.79765809200101,,3/3,64.61523095726997,46.269633602750034,,27/27,63.8026130190089,44.055086701635574,,31/31,63.386386800334165,43.96376775271513,,5/5,64.04513359581595,43.32910583272936,,15/15,67.2337552475975,49.10682696949061,,23/23
2019,47.60543898186055,26.228140885984022,23.66630036630037,3/6,64.10382260902085,44.332620995511476,,55/55,60.2124297917001,42.60891869119824,27.87633955060349,68/77,53.50995728543943,34.92155920696,25.192687074829934,9/13,65.21817129471626,45.39572272453172,,21/21,62.53585595197442,43.42444865703756,37.12980769230769,32/34
2020,59.84660493827161,35.699382716049385,,1/1,63.072297416670686,43.27060693110913,21.11111111111111,45/46,60.252108115482315,42.02199340973912,21.226736111111112,77/85,61.88211644506288,39.15728071531643,,7/7,62.873984194817524,43.299182607515945,,6/6,57.78024557179833,37.773566172746754,27.89942094942095,24/27
2021,47.475,30.52857142857144,26.0,1/2,62.83433710400787,43.65318966950265,25.477529761904762,43/44,61.68237011923706,42.29123230826386,22.89944749694749,102/107,58.02494036313481,34.13028817889929,,6/6,63.596987961851404,43.239291229312244,,7/7,63.07129746712129,46.184013837436396,28.148757679710062,31/34
2022,56.36454304954306,32.60382154882154,,4/4,65.91128074679199,50.17558144456953,21.48191391941392,33/35,63.992327955910994,45.995056825137766,35.58276643990929,92/95,55.52061464114155,32.32053282387516,,4/4,63.93495499364168,43.82876294835037,,12/12,63.161976706437116,45.12856693297154,37.77777777777778,22/23
2023,56.18926194720313,37.10670252949665,22.257575757575758,4/5,64.6034300877346,46.10995271089257,,19/19,64.38917254322968,48.56307814342824,28.122491160318965,77/88,52.25783698361823,31.17104344729345,36.96342592592593,3/4,63.95763758671513,44.677925646842766,,6/6,58.97374725516852,42.33584648596904,31.798063794383495,14/18
General,53.970678981562756,,,16/21,63.99688770511958,,,224/228,62.273543518747175,,,448/484,57.051272884760806,,,34/39,64.29562151511311,,,68/68,62.20968007687823,,,146/159
