year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2020,0,0,0,0/0,0,0,0,0/0,65.66155303030303,45.297348484848484,,1/1,0,0,0,0/0,0,0,0,0/0,0,0,0,0/0
2021,58.19690868804369,38.99377502229447,17.52258597883598,57/65,64.68498777575384,46.11941224026707,33.917857142857144,87/89,63.02522286083644,44.7626792430907,26.306250604973513,312/331,61.20616729287387,41.61543009366525,26.360544217687075,97/101,61.55515521960046,41.712109775096906,,24/24,63.119117120255524,44.20239067310947,27.458333333333332,69/71
2022,58.88210115449699,40.34892707526444,25.019177689594358,31/37,64.15180895430535,44.348057714889705,,39/39,61.492474227891776,42.84498860844412,26.863810976605095,123/136,64.31807113883923,45.391940839562295,27.1,39/40,60.13657511152609,39.45147422874874,,15/15,62.99745371961253,47.665206759966125,24.448567708333332,33/41
2023,0,0,0,0/0,0,0,0,0/0,0.0,0.0,0.0,0/0,0,0,0,0/0,0,0,0,0/0,0,0,0,0/0
General,58.44545889646304,,,88/102,64.52253485359374,,,126/128,62.585441912308646,,,436/468,62.08897689456617,,,136/141,61.009547485725705,,,39/39,63.07457962537727,,,102/112
