year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2021,63.12017630010588,44.53923106363281,19.940476190476193,15/16,68.55984246202135,51.21219981170964,,34/34,64.40858703599623,45.39326512804823,,104/104,60.20918650793651,39.499246031746026,,6/6,65.96856811542416,47.8612442654049,,11/11,63.88116701357244,45.373491120470796,44.95,29/30
2022,58.338838383838386,36.7820202020202,,5/5,67.14553692004303,49.78109581257929,,29/29,64.49902490525089,45.66676783046293,,25/25,52.20407196969697,26.302083333333336,,2/2,63.601736712361706,43.85477873977874,,12/12,66.382219175399,49.83618554647967,19.4890350877193,17/18
2023,60.9304425392316,40.62768702651515,,8/8,65.87110076078764,47.50538057538994,,54/54,65.68900275523963,47.20215661550282,,51/51,62.46769371578942,41.80583087702229,,12/12,66.4115851819687,48.07592255522856,,44/44,67.53703966881102,49.108465056556085,,32/32
General,61.691743208094444,,,28/29,66.9683303886539,,,117/117,64.78393230495612,,,180/180,60.763779378824296,,,20/20,65.83559459439746,,,67/67,65.90625281207885,,,78/80
