year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2018,0,0,0,0/0,66.1375982469911,48.14350470957614,,10/10,62.65643191119261,42.734805957382065,,15/15,56.86734693877551,,30.26530612244898,0/1,65.76478006404027,45.6282973885525,,7/7,54.57566391941391,29.339056776556774,,2/2
2019,55.102473157325136,38.913524697159566,18.142676767676768,4/6,65.95494352327066,48.1656701632734,,70/70,63.06856785090501,44.4972786469479,23.038875601522662,236/242,62.01391703515128,41.737851067151375,25.737692307692303,18/19,60.63736682917034,39.82108170399969,,30/30,60.10698200179583,38.899049330673826,,13/13
2020,47.58333333333333,21.16666666666667,,1/1,64.25109985136245,46.013278775379625,,20/20,61.7275010369017,43.311507041787735,23.531585557299845,71/75,57.152885551948046,33.8145087353123,,8/8,59.33898636931846,37.46213319308984,,8/8,60.64641774007582,44.65222805788982,34.65909090909091,5/6
2021,72.39087301587301,57.08015873015873,,2/2,61.99593743424045,43.773569099354184,25.982142857142854,15/17,63.01518924565496,43.76823285254553,30.134166666666673,87/89,59.41666666666666,38.16666666666666,,1/1,58.27399140211641,50.56686507936508,28.21875,2/3,61.01998875661376,40.18853835978837,,5/5
2022,56.58558989477487,33.97726079634199,29.45748299319727,6/7,65.1306703953862,46.83679834449248,,35/35,63.46120142262778,45.28772727633499,27.773280423280426,98/102,76.175,64.1,,1/1,59.34811624139749,38.30172789016538,,8/8,62.6793381533054,41.16307299132834,,11/11
2023,55.93068655881156,33.401339285714286,27.505555555555556,2/3,67.4686137685336,51.60358084100643,0.0,48/49,65.59693406752875,47.79410599033886,22.131481481481483,108/109,73.0,61.99999999999999,,1/1,57.75352904798284,36.21644639674052,23.590476190476195,6/7,65.31969612902355,48.36152366592843,32.09346405228759,11/12
General,57.203742486783625,,,15/19,65.68512687067093,,,198/201,63.3915548697571,,,615/632,61.320855538351644,,,29/31,60.445523234148396,,,61/63,61.89448198612938,,,47/49
