year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2018,0,0,0,0/0,0,0,0,0/0,0,0,0,0/0,52.29983660130719,27.606209150326798,,1/1,0,0,0,0/0,0,0,0,0/0
2019,55.82422883597883,32.9868921283395,21.107142857142858,13/15,63.215089627375875,44.78210077654799,31.018589743589747,32/34,62.12618480561725,44.93467144086192,22.172737190792745,37/43,57.610663453415555,35.31592780438935,22.36274509803922,13/14,62.71656612781189,42.371764660126914,33.33333333333333,39/40,66.99016266835017,52.23852091959118,49.0,9/10
2020,58.6433952614975,36.93289497962701,28.375,6/7,65.50727650554447,47.72767184191336,,27/27,65.26769079847169,47.29176670625353,23.56131827731093,48/50,55.138296156004486,30.261971901555235,,3/3,65.87260117197617,47.58960201835202,,12/12,66.6363628927612,48.65623817331287,,11/11
2021,69.80844841269841,52.509341269841265,,10/10,68.15078894309309,52.21527073279455,25.375,30/31,65.42442392458662,47.67421081963218,35.5,100/101,64.98085159989921,46.20859158478206,,9/9,63.84433982683983,44.71140692640693,,8/8,71.68973873640365,56.17050988577249,,17/17
2022,55.52032986014663,35.715433959689676,27.272061298662607,31/40,62.709521350616924,44.319048860791156,26.83361111111111,68/73,57.823697787563034,38.54300834096913,21.07639540243707,60/72,58.394261021194765,39.458271961578454,21.20117845117845,29/35,61.53585933714087,42.10771490138755,23.6,45/47,57.075795060489334,39.75530445084017,22.840079365079365,14/19
2023,54.911685769384704,34.28734330572847,26.23620426844111,22/30,65.09375693216249,46.61218814288871,19.200000000000003,59/60,63.297532136440296,45.99421230628777,23.991039304610737,63/70,57.88123114478115,37.02462207405389,29.23171717171717,22/25,61.905757407652494,41.18639818251905,,51/51,62.785629008062045,43.82988499326463,30.150000000000002,27/28
General,57.00113187239759,,,82/102,64.50713086551623,,,216/225,62.90717497977302,,,308/336,58.61978841583421,,,77/87,62.40042781282789,,,155/158,64.28311641644437,,,78/85
