year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2018,64.85873737373737,41.349797979797984,,1/1,59.53214285714286,37.2,,2/2,66.04470390720391,47.915522875817004,,4/4,70.83333333333334,56.161904761904765,,1/1,63.563715277777774,44.865426587301585,,2/2,0,0,0,0/0
2019,55.8069410373577,33.762524495394864,34.0,9/11,66.52655363702289,51.04150283371422,28.819444444444443,43/45,64.87109342321949,47.04410770253353,29.810019841269842,148/151,57.316740823658954,36.57716068420886,27.400000000000006,16/17,63.477511068107425,44.22642227353346,,33/33,68.37787122646817,53.65290063009844,26.404761904761905,13/14
2020,58.30802469135803,45.35925925925926,25.97222222222222,2/3,60.8992437484253,40.51237512597632,,12/12,63.738423264955294,45.16688937704768,26.700481000481,110/114,56.78865046916634,33.91909585270696,,6/6,61.00784632034633,40.954112554112555,,4/4,68.65932334253631,51.59118650519649,,13/13
2021,64.18518518518519,44.96296296296297,,1/1,68.26173809523809,49.47252380952381,,5/5,62.746096462216116,43.83352548782595,32.36105709876543,79/83,0.0,0.0,0.0,0/0,51.25,26.1,,1/1,53.31428571428572,29.200000000000003,,1/1
2022,48.899421411921416,27.87830687830688,20.495143745143743,3/5,64.35777898016306,45.120566844971606,,19/19,61.4463333312659,42.893544020003525,23.561312134502927,94/102,55.514823972323974,29.770261701261703,,5/5,58.60313106820526,37.20789287961688,,12/12,65.05034529263425,47.39054755970339,,11/11
2023,57.21446483686067,37.76659391534391,51.875,5/6,56.984104938271614,38.27182539682539,40.44444444444444,8/9,65.28536549214697,47.415784826779685,38.70586419753086,93/96,48.359446649029984,21.211419753086425,34.69047619047619,2/4,60.60833095990548,42.449118223046796,24.366600920447077,7/8,66.06013111121335,47.53347170592565,,10/10
General,55.76400904165564,,,21/27,64.35340825983862,,,89/92,63.76134776025278,,,528/550,56.27156777600829,,,30/33,61.75451502636989,,,59/60,66.9251182789576,,,48/49
