year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2018,67.31481481481482,49.814814814814824,,1/1,0,0,0,0/0,0,0,0,0/0,0,0,0,0/0,0,0,0,0/0,0,0,0,0/0
2019,48.25,21.785714285714285,,1/1,68.50670705782312,51.38303335222979,,12/12,62.447853894510175,44.003439321557366,18.333333333333332,45/47,60.73659259259259,44.546296296296305,39.00000000000001,4/5,68.96363468707219,51.04213691401192,,11/11,70.98796040594397,55.014539568375085,,20/20
2020,53.21646825396826,26.251587301587303,,2/2,64.38813001037931,45.827455971734814,,13/13,63.5897647711699,44.97689605575991,16.619444444444447,78/80,57.41132785976667,35.26573381751691,,10/10,62.574524190002705,43.07376428909632,,8/8,64.24517626433722,44.79845837937178,,18/18
2021,67.03440170940172,46.97478632478633,,3/3,68.14470009222401,51.62687857293406,,28/28,64.70474102795953,46.32910462229388,21.54932757718472,290/295,62.364620573029654,41.852523553887195,,11/11,65.31081687045896,46.79262384948663,,25/25,65.45411171922662,46.801305005068976,,38/38
2022,63.17923280423281,42.88756613756614,,1/1,66.93943382807669,49.84121583178726,,10/10,64.61511699709554,45.801409168888476,,88/88,62.73931078841793,43.414239926739924,,6/6,61.05100251200345,40.46944087971344,,10/10,63.9659991067134,45.454424517281666,,14/14
2023,65.57142857142857,41.142857142857146,,1/1,69.38873015873017,53.77404761904762,,5/5,67.37339744308758,49.358887048603435,,21/21,0,0,0,0/0,63.16024100082924,43.11279243632185,,5/5,67.30430125430124,51.351393051393046,,3/3
General,61.31684642517976,,,9/9,67.40464362478674,,,68/68,64.42768467049507,,,522/531,60.63259164357698,,,31/32,64.71657333836392,,,59/59,66.24586577918764,,,93/93
