year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2018,0,0,0,0/0,0,0,0,0/0,0,0,0,0/0,71.92857142857143,55.85714285714286,,1/1,0,0,0,0/0,0,0,0,0/0
2019,60.702407661782665,38.84097222222222,,3/3,65.55231890128563,46.98803750410728,,12/12,61.67150319700051,43.002991037152725,27.02876475376476,43/46,63.64027452837196,44.90974490174858,,8/8,62.153790735929604,41.79629771421014,,24/24,65.06579250926386,46.18567386910606,,17/17
2020,56.144841269841265,30.47222222222222,,1/1,64.97627002196538,46.316062124703905,,22/22,60.85975985004335,40.33198928461391,26.75296296296296,91/95,60.82120047826061,39.203886362649484,,8/8,62.48231492490763,42.55644817654813,,22/22,61.081625510143425,39.925863200450195,,18/18
2021,50.61561736874236,35.77256944444444,20.405881155881154,2/5,64.92599790200981,46.51880438785201,,12/12,61.90663007959853,43.20366219405399,22.35608225108225,85/90,56.95257381507381,32.759604284604286,,5/5,60.48874015094254,40.6313189676285,,6/6,69.64729382137469,53.581149446958264,,6/6
2022,58.94995343375445,36.04702837412022,,7/7,64.86559979042121,46.288056559842275,,22/22,64.29904854512958,45.86775108994551,33.76392857142857,93/95,53.537258916914524,34.91732249832899,13.801851851851852,11/14,61.88916564997109,41.33488485320723,,16/16,61.720818742549724,41.49144293186383,0.0,19/20
2023,61.461145243645255,40.57976380762095,,11/11,65.91904875312157,48.31794919612305,,68/68,64.21656617498316,45.82203429642348,27.57416666666667,246/251,59.770197302697305,41.56520923520924,26.49465811965812,8/9,61.27386704183791,43.01412338766974,20.538690476190474,35/37,65.82223308128003,47.971677493152995,16.142857142857142,67/68
General,58.52046010426962,,,24/27,65.47614891709057,,,136/136,63.075425193231986,,,559/578,58.66303646929068,,,41/45,61.77708645584261,,,103/105,64.60309859803374,,,127/129
