year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2020,0,0,0,0/0,0,0,0,0/0,52.14285714285714,27.057142857142857,,1/1,0,0,0,0/0,0,0,0,0/0,0,0,0,0/0
2021,61.359948870573874,42.45559343434344,33.41064102564103,11/13,65.51251807126201,48.38604668840179,19.839167974882262,86/90,64.32869644374132,46.78759959375468,27.82716049382716,167/177,60.6326441722179,40.7972548301959,26.226851851851855,41/45,62.25160383597884,42.86608445566779,,18/18,66.02176027950637,49.383644993124165,24.600000000000005,39/40
2022,59.71424399529869,41.789957496207506,25.225691900691903,26/32,65.6771802462367,47.60136853849097,,103/103,61.38300743604872,42.790192032935735,25.47538640371974,135/150,62.114157397608935,42.136475738932965,27.75,52/53,63.22699865348987,44.025608696664506,20.500000000000004,55/56,64.93790173955347,47.08037285747358,25.33055555555556,46/48
2023,59.273905423280425,39.10170102384389,20.375,7/8,67.00041470074174,48.81082609365943,,42/42,60.765657883872706,39.32885190154018,26.02893518518519,49/55,66.10699108144942,48.247544186453275,35.375,11/12,63.987321460947946,44.33165818900586,,38/38,63.58058902196201,48.99585738668841,45.119733044733046,19/23
General,60.05144125572192,,,44/53,65.8754575724681,,,234/238,62.63681256780987,,,356/387,61.778405606506055,,,106/112,63.3282054389203,,,111/112,64.97655672584875,,,105/112
