year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2018,60.0625,40.375,,1/1,66.3626984126984,46.79206349206349,,3/3,68.86315628815629,53.07409951159951,,4/4,71.41031746031747,57.54365079365079,,3/3,57.93704146730463,35.87609330813665,,3/3,65.59203956228956,46.24278956228956,,5/5
2019,59.841410934744275,36.972522045855385,,6/6,66.15603657539938,47.94703338904284,,65/65,63.6640833657317,44.9098533349823,25.488220137886806,150/155,63.504445196007694,42.577475048100055,,12/12,65.5723755048152,47.559178914855465,47.25,41/42,68.23766105420103,50.90755315961901,,40/40
2020,68.09371947496948,50.198000610500614,,4/4,66.00957076719577,48.038943783068774,,20/20,63.48386223905838,43.76330039655943,23.074074074074076,82/83,57.818311330675584,36.846391524446034,22.222222222222218,8/9,63.08947145061728,42.768167488375816,,12/12,63.425023750759046,42.45400977698772,,16/16
2021,47.69722222222222,18.005555555555556,,1/1,65.15741695053383,47.24984669971683,,14/14,63.19969734317169,45.02011026014111,21.572916666666668,63/66,58.211076324469175,32.18008142651,,4/4,60.754914070891516,38.70886143931257,,2/2,67.33542745657292,51.23159476464197,,6/6
2022,54.98805849500294,33.67272927689595,32.77777777777778,2/3,65.99366596159726,48.90971768770072,25.80888888888889,35/36,59.72173724067342,40.390743110547305,23.439961886958642,96/107,63.960168963418695,46.33484309596854,22.3925925925926,7/8,64.98317602899745,46.12264020557719,,15/15,65.45808375610261,48.18727611884313,32.63809523809524,26/27
2023,65.58928571428572,48.925000000000004,,4/4,68.59718728288802,52.45366740231698,,36/36,63.3245326780499,45.44550012773214,24.629327286470147,134/142,58.84048659425892,38.15287945048149,23.892857142857142,7/8,63.255249574015906,43.925425598971344,,15/15,67.09627150057669,49.4666045800482,,30/30
General,61.3949675827746,,,18/19,66.5338875982294,,,173/174,62.77653549856755,,,530/558,61.6340601470096,,,41/44,64.38214342919711,,,88/89,66.5849676706705,,,123/124
