year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2021,0,0,0,0/0,0,0,0,0/0,0,0,0,0/0,64.20000000000002,46.0,,1/1,0,0,0,0/0,0,0,0,0/0
2022,54.873620915032674,35.02316215375039,37.888888888888886,3/5,66.85081940066031,48.893414070705376,,57/57,65.54484782911874,47.83902063913811,32.38493265993266,158/161,63.17526455026456,41.808201058201064,,2/2,68.58793585052514,52.71999703055826,17.392592592592596,21/22,66.95616923666857,49.300956678053076,,53/53
2023,61.408648562256104,44.86021203169037,29.007825091575093,19/24,68.83748335055093,52.387648049332654,34.166666666666664,151/152,66.08155729965189,49.03829657550511,25.295413459996794,346/358,60.13458400820645,43.27598859914336,25.525,12/14,66.39043249274404,49.025534402154136,19.41111111111111,60/61,69.7574946434167,54.31344617251738,36.96666666666667,106/108
General,60.28191965756241,,,22/29,68.29566590967167,,,208/209,65.91506361033427,,,504/519,60.73145324796586,,,15/17,66.97290326227638,,,81/83,68.83531919895925,,,159/161
