year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2017,0,0,0,0/0,0,0,0,0/0,68.99716553287982,52.849206349206355,,2/2,0,0,0,0/0,74.10000000000001,62.480000000000004,,2/2,70.61448051948052,55.341688311688316,,2/2
2018,64.24323533377998,44.08887745653817,,10/10,65.91841144174369,47.64574379031865,,42/42,62.335281451786315,43.28687247578473,29.655257936507937,76/80,62.15670496010559,43.0143859289432,27.511111111111113,15/16,61.82530964030041,41.808109625469,,40/40,63.73518059846596,43.51735369208093,,30/30
2019,56.41254578754578,33.37847985347985,,5/5,67.87328129375324,50.480833005327014,,58/58,63.34219198781873,44.800859248713195,29.13319267119086,134/140,62.244457819065715,42.94474086132998,23.56875,34/36,63.991100036860814,44.95987887239303,,65/65,64.18674451017627,44.998488727651676,19.220000000000002,51/52
2020,63.09010622710622,43.19609126984127,33.611111111111114,4/5,67.23871615312791,50.07343000790059,,15/15,62.11732164624142,42.9996330618507,22.785933583959906,41/43,62.90396402524242,43.45061200794156,,11/11,66.76301588714783,50.17568949825895,,3/3,62.91891293552165,44.90591481358625,49.16666666666666,16/17
2021,54.06932858807859,33.90310314685315,28.324999999999996,4/6,69.31464398769955,52.758322932211826,,9/9,62.201298212123504,43.0807486957376,25.022792022792025,59/61,63.7299148896371,43.09971808027363,,9/9,61.887211399711404,43.6281746031746,,4/4,62.02852439195977,47.10474052696276,18.75,6/7
2022,61.85471003115052,44.60517046657047,21.400000000000002,5/6,66.65014223532316,49.02274016584305,,14/14,62.51971225422888,44.4887812231234,22.080250850340136,47/51,65.74107470323987,47.28533912681233,,10/10,61.179368430482555,40.411158652424184,,9/9,65.87129871395832,47.47765071412177,,18/18
2023,47.80902777777778,19.631944444444446,,1/1,66.76692843333915,48.513664936914935,,12/12,60.77546829185573,42.701861095638904,22.219855453188785,35/38,63.03119889369889,52.723921614100185,18.98148148148148,4/5,62.294946245052444,41.64409788045408,,9/9,62.8461351408315,42.04736266466931,,9/9
General,60.09996584558219,,,29/33,67.1462751084782,,,150/150,62.54462859587324,,,394/415,62.91249816819942,,,83/87,63.17985313142481,,,132/132,64.04529538732167,,,132/135
