year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2017,0,0,0,0/0,73.11600288600289,58.15327561327561,,3/3,63.504606481481474,43.4992552910053,,5/5,59.264247921390776,36.67513227513227,,3/3,62.174612193362194,42.4338924963925,,3/3,68.52380952380952,49.80952380952381,,1/1
2018,61.417942274961504,42.258737245041594,30.972222222222225,23/26,63.402720120966265,44.16157331892185,32.160000000000004,85/86,61.80825252377914,42.65672240127104,24.501308586112508,153/162,59.655841401598536,38.90437396797088,24.80705467372134,58/61,61.86000285520805,41.80054536453193,,83/83,64.24527085059688,45.40832233688474,,67/67
2019,56.942084705673096,33.61781826883391,29.821428571428577,15/16,65.82294254200724,47.919161929193955,,58/58,61.037603505147764,43.10670107948094,20.633899117857453,96/106,59.593536945164594,40.096829551514524,32.54049823633157,34/38,63.46365267382456,44.58421865203063,28.228174603174608,55/56,64.19059715018486,45.18102540919243,,34/34
2020,0,0,0,0/0,70.58154761904763,56.55119047619048,,3/3,60.509022174406795,45.67815946679583,25.043452380952377,11/13,58.12781084656085,35.40588624338625,,3/3,56.30555555555554,36.55555555555555,,1/1,63.22808538683539,43.21029859029859,,4/4
2021,77.375,64.75,,1/1,0.0,0.0,0.0,0/0,57.3547619047619,34.647619047619045,,2/2,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0/0
2022,49.27295341719684,17.81153846153846,27.40478279030911,1/4,59.938301282051285,40.0224358974359,,2/2,61.45527654538725,41.41110750150098,,26/26,44.57222222222221,,23.72222222222222,0/1,62.56944209636518,38.71639898562976,,3/3,60.573518518518526,38.73724867724868,,5/5
2023,71.0520202020202,56.56060606060606,,3/3,68.81593208180709,51.70611429443572,,13/13,65.59407668898716,47.971034493717724,28.441721175649747,73/75,57.225489464791764,34.643892703280144,,4/4,61.13064830900309,43.43843654128318,20.016826923076923,7/8,61.65346922333748,40.53984318264343,,12/12
General,59.911254574292336,,,43/50,64.9450967817107,,,164/165,62.26006598132702,,,366/389,59.35646441635463,,,102/110,62.389140854631194,,,152/154,63.82974654016317,,,123/123
