year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2018,63.83333333333334,43.80000000000001,,1/1,0,0,0,0/0,51.81666666666666,27.666666666666664,,1/1,0,0,0,0/0,65.35119047619048,47.06904761904762,,1/1,89.75,84.5,,2/2
2019,54.7306479426433,30.296119813422443,27.007843137254902,4/5,62.95438977317987,43.00488675489135,32.323260073260066,32/33,58.75094187419011,36.64458497811094,23.04114583333333,44/46,59.392601982252955,39.00402269447724,22.417687074829928,14/16,62.811565752934456,42.988237525424594,20.986666666666665,55/56,64.66479726547327,47.00068100946673,24.596969696969705,21/22
2020,0.0,0.0,0.0,0/0,58.92051309581072,37.94026392754071,25.511111111111113,8/9,57.75214943464759,35.247708272482946,22.57142857142857,29/30,60.06064321962759,41.496392595499735,13.618055555555557,7/8,57.8881993554691,34.95028213745319,,13/13,56.34670454545455,32.84310606060606,,5/5
2021,69.96249999999999,52.87499999999999,,1/1,0,0,0,0/0,53.47743055555556,44.19791666666667,20.95,1/3,0,0,0,0/0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0/0
2022,55.46073232323232,32.265404040404036,,4/4,58.8693783068783,46.85073953823954,46.33333333333333,2/3,56.386480803147464,37.90964590964591,21.51851851851852,5/6,59.62462207105064,44.08216175359033,19.537037037037035,3/4,47.26155626780626,22.28981820648487,18.123076923076923,3/4,54.796875,31.54017857142857,,1/1
2023,56.536682449494954,31.988642676767682,,4/4,70.23742356601731,53.57664231601731,,8/8,63.270870469895826,42.663718791279294,,24/24,54.09714321172655,30.733239242239243,32.02777777777778,5/6,56.30456567242281,33.72829670329671,,14/14,65.89292582417583,47.681318681318686,,8/8
General,57.02924880916393,,,14/15,63.137490638226524,,,50/53,59.128877669835376,,,104/110,58.642591912577345,,,29/34,60.371086463031396,,,86/88,64.88945642529187,,,37/38
