year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2018,0,0,0,0/0,0,0,0,0/0,0,0,0,0/0,63.83333333333334,47.33333333333334,,1/1,0,0,0,0/0,0,0,0,0/0
2019,58.186357405371204,41.94273066064032,25.394682539682538,17/22,65.29603839293422,46.311801018266536,29.64375,29/30,65.05174282509282,46.95293319692989,33.92460317460317,104/105,57.31908467526306,36.87796059202095,29.44431216931217,25/28,61.02166680428637,39.56249928619532,,19/19,64.6746663807959,49.76871185571366,34.666398046398044,39/45
2020,64.79271541950114,48.87546296296296,23.324444444444445,6/7,67.92214547357405,50.28504264782836,,10/10,63.3565218908076,44.64240990302214,,49/49,57.30442055099606,34.98135255422187,29.03875,11/12,65.43617616758242,46.497663690476195,,8/8,72.44396122685185,56.69204282407408,,8/8
2021,53.20120858787594,27.10126585996241,,4/4,68.28125,51.39583333333334,,1/1,60.003486331376955,42.04682545628974,22.22222222222222,7/8,59.81666666666667,40.833333333333336,,2/2,53.77008928571428,28.50446428571429,,1/1,61.643518518518526,41.6462962962963,,2/2
2022,52.149523809523814,27.129931972789116,23.666666666666668,2/3,74.06666666666666,61.46666666666667,,1/1,55.79256895140137,35.515605729113446,22.452777777777776,12/15,50.45660866910866,27.085599816849815,18.258928571428573,4/6,55.78813782232261,31.94691746659138,,4/4,67.19166666666666,51.21666666666667,,3/3
2023,60.676454393559666,45.34198412698413,30.273015873015872,15/19,64.84846128697691,46.876159887566146,,24/24,65.0486283152178,48.36102827379567,23.955217080727287,164/171,58.54530708943211,40.51237883920625,27.790137085137086,17/20,59.135728646900134,37.736006323003515,,25/25,65.59175057311515,50.252720870039056,29.6063955026455,55/60
General,59.19554382022514,,,44/55,65.70929687996787,,,65/66,64.29636332215114,,,336/348,57.242027217235936,,,60/69,60.31959535736155,,,57/57,65.68032837605574,,,107/118
