year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2018,45.45162037037037,26.48571428571429,21.615740740740744,1/2,60.83989173789173,38.63415059015059,,5/5,65.56028224832053,46.783996492608935,,11/11,58.68635105335841,38.434606901812785,16.123809523809523,9/10,62.23019374416434,43.7515172735761,,6/6,59.287885802469134,48.1974537037037,32.91794871794872,2/3
2019,53.60951807256434,33.83484434829414,24.53318833943834,23/31,63.710591020558354,45.763165148929176,17.86111111111111,79/82,61.64956219558407,43.74562401337619,28.07856303418803,127/141,59.80202007252267,40.23512016566197,30.550808767951622,69/76,61.770228134327084,41.3573013658501,40.63333333333333,59/60,64.4288288743005,46.257556654659986,28.878209984459986,34/36
2020,57.81018097643097,34.369284511784514,,5/5,65.64209568209569,48.52992340992341,,11/11,60.883131937984956,42.78044372398226,27.580109890109892,42/47,56.668823419378974,34.36938859494415,,9/9,60.50709120425029,41.75133297258297,33.0,10/11,62.71726662226662,45.717303454121634,22.5,11/12
2021,59.71840699838327,39.0208972796987,26.853333333333335,14/15,66.63514435646239,47.95889071309139,,21/21,58.72497578087399,39.07414169687147,25.54286026803884,99/109,60.352675763772865,39.29530685902266,,32/32,56.63158068783069,34.4610088985089,,7/7,62.20643079369795,43.740787271347926,32.84583333333334,16/18
2022,57.752568224259406,35.54746322082552,43.8125,11/12,61.78947391412049,45.02773962495051,22.635416666666668,21/24,59.11161863663735,41.9922288061898,31.17811356865979,66/80,56.61506875477463,33.56662609876895,32.79305555555556,15/17,55.7848749923192,32.53441595689364,,12/12,59.88392857142858,49.43798185941044,51.19603174603174,7/10
2023,56.06916666666667,36.48660714285715,16.583333333333336,4/5,59.79586996336997,42.48434941520468,0.0,12/13,61.46614235627112,43.125324468818874,27.973765432098766,36/39,57.56425315474409,36.12774413260786,16.0,16/17,65.53748425681462,46.85489303355374,,14/14,66.49098412698413,49.83974603174603,,5/5
General,55.87145661246551,,,58/70,63.52668390914556,,,149/156,60.42714280640516,,,381/427,59.094226979641405,,,150/161,61.16851998263105,,,108/110,63.10617448791898,,,75/84
