year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2018,0,0,0,0/0,0,0,0,0/0,0,0,0,0/0,60.22222222222222,39.55555555555555,,1/1,0,0,0,0/0,0,0,0,0/0
2019,55.18315094899382,33.822585452958506,27.930324074074075,40/49,59.9427858685187,38.41702913613888,19.82222222222222,30/31,55.84269669066151,33.32194240307123,33.20015432098766,28/34,56.57112373747013,34.277439296103935,20.831147186147184,44/49,58.8042039969563,36.99734509623832,13.325000000000003,44/46,60.476288932802184,40.975048894712614,30.256944444444443,34/38
2020,58.609565087690086,37.85548455512741,22.352182539682538,14/16,59.17162022005772,36.15115891053391,,12/12,61.96117278710406,43.276230933720726,35.13234126984127,54/59,60.927908816304296,38.690011847331526,,18/18,64.86400793650793,45.66408730158731,,10/10,62.06878858585514,46.936993659362074,19.203361344537818,9/11
2021,58.465506993007,38.18448897663183,21.771164021164022,14/16,61.587638779843154,40.67297747242975,,14/14,61.913202639450276,43.01585128611529,28.122970085470087,161/167,61.03328217611045,40.9480246495838,24.92460317460317,31/33,55.07229784798534,33.49017329011377,21.039682539682538,9/10,63.606640546686634,44.176151701174746,,31/31
2022,54.95116424321762,32.72372296365101,29.402904502904505,23/29,60.95335914343148,39.29294240205888,,11/11,63.76477274806721,44.63673548918232,20.535714285714285,83/84,57.35022903393003,37.60221436930003,27.544095238095238,23/28,57.19174709838772,34.16239190725211,,8/8,62.636272724477806,42.13515651807461,,21/21
2023,57.0345409411248,36.654416828455766,16.258819621598636,29/33,63.63350622178747,45.03463331807082,,24/24,63.44597227535472,44.28900051636742,27.5,53/54,58.30334124979959,35.78443981481482,34.25375,20/21,61.01105845860407,39.88066943257898,,14/14,63.29803453098176,45.61993102753,21.122448979591837,24/25
General,56.42191879694043,,,121/144,61.176128775904594,,,91/92,62.0690561743749,,,381/400,58.48789690039476,,,137/150,59.273241328550924,,,85/88,62.30535001052978,,,119/126
