year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2019,0,0,0,0/0,61.73943213649096,39.219989814107464,,4/4,63.87321522516835,45.08008314023938,,12/12,0,0,0,0/0,64.05726407430953,44.66302006074733,,3/3,63.38133768237934,43.49955106621773,,3/3
2020,60.89884731670446,39.39187452758882,,5/5,64.53109759117186,45.83937875457022,42.82352941176471,32/33,62.70099425063522,44.04900218873357,27.391640211640212,99/105,56.49929058514585,31.510140521550298,,7/7,62.67153181166114,41.8819818013161,,7/7,66.19484723013915,49.46588295062101,64.89999999999999,24/25
2021,60.68364177315486,41.626034835829024,31.207055444555444,19/22,63.764064466987264,43.612351141505556,,34/34,63.5671482498866,44.35402095806663,29.559413580246915,187/189,53.43758984312973,30.665573126300835,47.91851851851851,7/9,63.60576394194042,43.31390374331551,,5/5,64.93643554638342,46.067119805874384,22.30808080808081,43/44
2022,0,0,0,0/0,65.47290503162426,47.17665090395613,26.240740740740748,49/50,64.65898748685132,45.982657993135945,20.708705357142854,152/154,59.5911299163291,41.95905060848243,21.568108974358974,11/13,63.14843161098013,42.77758881715263,,21/21,64.8611635519732,45.97143226337408,,37/37
2023,53.6311799719888,31.72712418300654,24.0,3/4,67.45113419512364,50.24668883906021,,41/41,64.45709031163945,46.224316313750414,27.17184883018216,127/130,58.33164224703091,36.596899229777385,,6/6,59.60756214204898,40.9013364110024,21.221177944862156,13/15,66.34324438067505,49.04799742480968,29.333333333333336,37/38
General,59.80835727357693,,,27/31,65.33088823773755,,,160/162,63.900304765653416,,,577/590,57.17451100224721,,,31/35,62.13983981520737,,,49/51,65.46343330428671,,,144/147
