year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2017,0,0,0,0/0,52.13988095238095,26.314880952380953,,1/1,80.88,67.47428571428571,,1/1,61.137231559290385,40.465873015873015,,1/1,63.888492063492066,42.599206349206355,,1/1,0,0,0,0/0
2018,58.13891950155109,38.57320034132534,24.372222222222224,16/19,61.10301136684818,41.13688003965045,12.8125,35/36,61.54310280708992,41.95599441164671,20.390726817042605,49/50,63.12487555365159,43.97880829625622,,16/16,61.572987913502615,42.16149001747164,17.4,40/41,65.28615229099604,47.82792729472225,7.333333333333334,29/30
2019,60.15509274226892,39.463175165026705,23.97824074074074,19/21,64.81862238974247,46.171061364673676,,97/97,61.87709546594442,41.96283579098353,30.971111111111107,143/148,59.81649329198112,40.057826191001936,19.1712962962963,43/46,62.395528947595324,42.49218739779775,34.48804485987103,108/109,63.2411267013954,44.776206210406244,25.023119658119665,70/75
2020,58.32514619883041,38.318128654970764,,3/3,61.011909391534395,43.88831182978241,19.74867724867725,17/20,64.0406024836078,45.050752018570336,20.802777777777777,46/47,58.52872476263233,34.97796464040162,,7/7,63.981589370266036,44.712688637458285,,14/14,66.73871359368275,48.467442883170676,,16/16
2021,0,0,0,0/0,0.0,0.0,0.0,0/0,62.072568657092475,43.9870669564122,,8/8,0.0,0.0,0.0,0/0,59.8099173553719,37.570247933884296,,1/1,67.09993386243387,50.488624338624334,,3/3
2022,59.227272727272734,37.00000000000001,,1/1,0.0,0.0,0.0,0/0,69.87777777777778,53.644444444444446,,2/2,61.42857142857143,42.85714285714286,,1/1,0.0,0.0,0.0,0/0,60.69871794871795,40.98717948717949,,1/1
2023,54.96672703810392,36.746457276110384,34.59444444444445,11/14,63.03939783320735,45.81876462917279,23.18367346938776,14/15,64.37189909172278,45.7959345306256,25.915564858422005,75/78,62.358897876814545,41.365117642498596,,15/15,60.28163840557569,39.4186883376091,19.472222222222225,32/33,65.87592357999122,47.887193540063706,27.0,32/33
General,58.13160875817822,,,50/58,63.34369122658421,,,164/169,62.82364616769614,,,324/334,60.804733078698426,,,83/86,61.981607476020514,,,196/199,64.59109168676702,,,151/158
